Name,Symbol,Price,Market Capitalization,Weight,Number of Shares to Buy,Portfolio Allocation
"General Mills, Inc.",GIS,75.74,44321758602,0.10487698425700988,13,984.62
Halliburton Company,HAL,38.21,34472871256,0.0815719161433792,21,802.41
"The Hartford Financial Services Group, Inc.",HIG,75.66,23472380705,0.055541850759544174,7,529.62
Honeywell International Inc.,HON,208.26,138633890354,0.32804439162051663,15,3123.9
The Hershey Company,HSY,240.44,49145698205,0.11629169914555149,4,961.76
Howmet Aerospace Inc.,HWM,50.48,20862930084,0.049367201550437376,9,454.32
International Business Machines Corporation,IBM,141.07,128097907021,0.30311347297016106,21,2962.47
International Paper Company,IP,33.77,11720114620,0.027732885951791304,8,270.16
Kimberly-Clark Corporation,KMB,131.89,44497179035,0.10529207532222018,7,923.23
The Coca-Cola Company,KO,63.05,272664758912,0.6451968182184183,102,6431.1
The Kroger Co.,KR,48.71,34961406881,0.08272792043265398,16,779.36
Lockheed Martin Corporation,LMT,452.81,114031598732,0.26982887327214433,5,2264.05
3M Company,MMM,112.64,62140334080,0.14704043893103583,13,1464.32
"Altria Group, Inc.",MO,45.56,81326422400,0.192439790088538,42,1913.52
"Merck & Co., Inc.",MRK,107.14,271861321600,0.6432956733861752,60,6428.4
Marathon Oil Corporation,MRO,26.11,16125639604,0.038157521367092315,14,365.54
"Motorola Solutions, Inc.",MSI,295.4,49543599437,0.11723323852847718,3,886.2
Northrop Grumman Corporation,NOC,457.16,69423864097,0.1642751942075085,3,1371.48
Norfolk Southern Corporation,NSC,236.93,53934745200,0.12762384890997963,5,1184.65
Occidental Petroleum Corporation,OXY,62.85,56046174758,0.13262004877882147,21,1319.85
Public Service Enterprise Group Incorporated,PEG,64.92,32392807281,0.07664993552617047,11,714.12
"PepsiCo, Inc.",PEP,191.6,263752721869,0.6241085853021725,32,6131.2
Pfizer Inc.,PFE,37.21,210061983314,0.49706212054556254,133,4948.93
The Procter & Gamble Company,PG,153.94,362831959337,0.8585562235702776,55,8466.7
"PPG Industries, Inc.",PPG,146.18,34427289171,0.0814640568940684,5,730.9
Raytheon Technologies Corporation,RTX,86.3,126096379238,0.29837732972113873,34,2934.2
Sealed Air Corporation,SEE,46.21,6672077060,0.01578789612268681,3,138.63
Schlumberger Limited,SLB,57.67,81949066309,0.19391312998978844,33,1903.11
The Southern Company,SO,73.09,79697336000,0.18858494149689392,25,1827.25
S&P Global Inc.,SPGI,428.41,137433928000,0.3252049638342784,7,2998.87
Union Pacific Corporation,UNP,238.0,145107404288,0.3433624349553994,14,3332.0
WestRock Company,WRK,32.28,8267876400,0.019563978740739212,6,193.68
Xcel Energy Inc.,XEL,65.05,35800655718,0.08471380478927766,13,845.65
Exxon Mobil Corporation,XOM,105.09,424876778289,1.0053706484871696,95,9983.55
"Dominion Energy, Inc.",D,54.45,45516987014,0.10770521028645261,19,1034.55
Freeport-McMoRan Inc.,FCX,43.41,62219118205,0.14722686297416834,33,1432.53
Humana Inc.,HUM,448.21,56001598450,0.1325145694634736,2,896.42
"Rockwell Automation, Inc.",ROK,333.96,38363655000,0.09077853786457833,2,667.92
"T. Rowe Price Group, Inc.",TROW,118.8,26672263200,0.06311361768932598,5,594.0
Texas Instruments Incorporated,TXN,176.0,159747106816,0.37800383683079974,21,3696.0
U.S. Bancorp,USB,38.89,59615261289,0.1410654499481402,36,1400.04
Whirlpool Corporation,WHR,143.57,7861591703,0.018602601865923368,1,143.57
"Waste Management, Inc.",WM,164.94,67100394660,0.15877725199465378,9,1484.46
Weyerhaeuser Company,WY,34.38,25176336480,0.059573860062109435,17,584.46
